,Unnamed: 0,Dispensary,Cases,Achieve,Celebrate,Dream,Locations,Revenue,Address,lon,lat
0,0,B/Well,400,100,100,200,1,"$33,600 ",220+Commercial+St+Provincetown+MA,-70.1886415,42.0496674
1,1,Silver Theraputics,15,5,5,5,1,"$1,260 ",238+Main+Street+Williamstow+MA,-73.1843933,42.70255299999999
2,2,Campfire Cannabis,300,100,100,100,1,"$25,200 ",65+West+Boylston+Street+W+Boylston+MA,-71.7834089,42.3586426
3,3,Nature’s Remedy,100,33,33,34,2,"$8,400 ",266+North+Main+Street+Millbury+MA,-71.7773189,42.206379
4,4,Bloom Brothers,30,10,10,10,1,"$2,520 ",2+Larch+Street+Pittsfield+MA,-73.2102578,42.4587763
5,5,The Pass,50,15,20,15,1,"$4,200 ",1375+North+Main+Street+Sheffield+MA,-73.3633631,42.1426463
6,6,Garden Remedies,225,75,75,75,3,"$18,900 ",416+Boston+Post+Road+Marlborough+MA,-71.5133227,42.3487498
7,7,Fine Fettle,165,55,55,55,1,"$13,860 ",116+Newburyport+Turnpike+Rowley+MA,-70.91114,42.7007649
8,8,Happy Valley,50,20,15,15,1,"$4,500 ",38+Great+Republic+Drive+Gloucester+MA,-70.645259,42.628566
9,9,Cape Ann Cannabis,180,60,60,60,1,"$15,120 ",300+Newburyport+Turnpike+Rowley+MA,-70.90772729999999,42.7130673
10,10,ATG,900,300,300,300,3,"$75,600 ",49+Macy+St+Amesbury+MA,-70.9228679,42.8457306
11,11,Seagrass,60,20,20,20,1,"$5,400 ",3+Dodge+Street+Salem+MA,-70.8938867,42.5187288
12,12,NETA,600,200,200,200,2,"$50,400 ",5+Forge+Parkway+Franklin+MA,-71.437172,42.0870027
13,13,Verilife - Wareham,39,13,13,13,1,"$3,276 ",112+Main+Street+Wareham+Massachusetts,-70.7131995,41.7560551
14,14,Mission,150,50,50,50,1,"$12,600 ",640+Lincoln+Street+Worcester+MA,-71.7650283,42.2991486
15,15,CannaProvisions,150,50,50,50,2,"$12,600 ",380+Dwight+Street+Holyoke+MA,-72.6045718,42.2047079
16,16,Nova Farms,100,0,100,0,1,"$8,400 ",34+Extension+Street+Attleboro+MA,-71.324818,41.91832400000001
17,17,Panacea,600,200,200,200,1,"$50,400 ",177+John+Verente+Blvd+New+Bedford+MA,-70.9651452,41.7271741
18,18,The Botanist,45,15,15,15,1,"$4,050 ",65+Pullman+Street+Worcester+MA,-71.7987318,42.3235833
19,19,Rev Clinics,100,25,25,50,3,"$8,400 ",541+Massachusetts+Ave+Cambridge+MA,-71.10212179999999,42.3648033
20,20,Resinate,150,50,50,50,2,"$12,600 ",110+Pleasant+Street+Northampton+MA,-72.6278907,42.3186646
21,21,Caroline’s,300,100,100,100,1,"$25,200 ",640+Douglas+Street+Uxbridge+MA,-71.6694838,42.0632556
22,22,INSA,300,100,100,100,2,"$25,200 ",462+Highland+Ave+Salem+MA,-70.9348267,42.4929904
23,23,RISE,36,12,12,12,1,"$3,240 ",169+Meadow+Street+Amherst+MA,-72.53947699999999,42.4087279
